course_id|title|headline|category|course_level|published_date|last_updated|course_price|course_language|total_lectures|content_duration|closed_caption|practice_tests|instructors|url|is_translated|translated_language
610702|Minimalism and living 'the minimalist' lifestyle|This is a guide to simplify your life, have less stress and more freedom and focus.|personal_development|All Levels|2020-09-22 19:35:09|2023-10-17 02:51:36|$ 190 USD|en|24|1 total hour|True|0|['Jelle Derckx']|https://img-c.edtech.com/course/480x270/610702_84f3_3.jpg|YEs|['de', 'hi', 'fr']
129572|Learn PHP and MySQL for Beginners the Easy Way - 13 Hours|Learn PHP and MySQL and get ready to take your web development skills to the next level!|development|Beginner Level|2021-01-16 15:31:03|2023-01-23 11:02:44|$ 263 USD|en|85|12 total hours|True|0|['Simon Sez IT']|https://img-b.edtech.com/course/480x270/129572_7f0b_6.jpg?secure=bvbts8OkQxDtPzoHi0h7aA%3D%3D%2C1646822772|True|['ja', 'ru']
1987136|Laravel - Restful API with Passport Authentication|Learn to create Restful API's and at the same time Authenticate them|development|Beginner Level|2021-03-11 08:15:43|2022-10-05 09:44:49|$ 132 USD|en|13|1.5 total hours|True|0|['Edwin Diaz', 'Coding Faculty Solutions']|https://img-b.edtech.com/course/480x270/1987136_9a16.jpg?secure=nYcJPq5HOYykPWq6TJiqDg%3D%3D%2C1646822609|No|
1000966|Play Piano 5: Improvise on Misty Eb Key Runs & 2-5 Chords|Learn to Improvise with runs and fills on Misty in Eb Key using LH Ballad & Stride accompaniment. Apply 2-5 Power Chords|music|Expert Level|2021-07-15 04:50:38|2023-01-28 20:56:22|$ 133 USD|en|70|1.5 total hours|False|0|['Rosa Suen']|https://img-c.edtech.com/course/480x270/1000966_2522_4.jpg|False|
3549346|MCIA- Mulesoft Certified Integration Architect course|Clear MCIA exam easily after taking this course|software|All Levels|2020-10-07 14:02:08|2022-04-27 13:51:50|$ 111 USD|en|30|10 total hours|True|0|['Sivaprasad Valluru', 'Rajeswari Yambakam', 'Padmini Srimanthula']|https://img-c.edtech.com/course/480x270/3549346_e46a_3.jpg|Yes|['es', 'ja']
3290426|The Complete JavaScript Bootcamp for Beginners 2020 with ES6|Complete Javascript Tutorial For Beginners with 3 Real time Hands-On Projects|development|All Levels|2021-11-10 21:04:11|2023-08-07 11:02:44|$ 128 USD|en|70|12.5 total hours|False|0|['K.Sathyaprakash Reddy']|https://img-c.edtech.com/course/480x270/3290426_0f9c_2.jpg|Ys|['ja', 'hi', 'ru']
1652152|Web Design With Thrive Architect - Create A Complete Website|Amazing Tutorial On How To Use The Web Builder Thrive Architect To Build Your Own WordPress Website - No Coding Needed|business|All Levels|2020-10-14 11:10:42|2022-08-07 10:41:19|$ 229 USD|en|33|4 total hours|False|0|['Pastor Dre']|https://img-b.edtech.com/course/480x270/1652152_7e14_2.jpg?secure=GZDTdhim_30KiYncATkiZg%3D%3D%2C1646823070|False|
703140|YouTube Masterclass - Your Complete Guide to YouTube|Complete guide to starting a YouTube channel, getting more views & subscribers, and building a brand with videos!|marketting|All Levels|2020-02-29 08:56:02|2022-02-21 22:17:39|$ 233 USD|en|67|5.5 total hours|True|0|['Phil Ebiner', 'Michael Moyer', 'Video School']|https://img-c.edtech.com/course/480x270/703140_703a_4.jpg|False|
8139|14-Day Yoga Detox and Empowerment Course|Lose weight, get healthier and fit on all levels in just 14 days with Sadie Nardini|health_fitness|All Levels|2020-10-10 09:50:39|2024-01-11 12:52:19|$ 208 USD|en|31|19.5 total hours|True|0|['Sadie Nardini']|https://img-c.edtech.com/course/480x270/8139_bbe5_11.jpg|NO|
2717120|Content Samurai: Super High-Speed Video Creation (2022)|A mind-blowing course on video creation powered by Artificial Intelligence (AI) taught using the Content Samurai Tool|design|Beginner Level|2020-11-09 02:29:50|2022-12-09 22:16:23|$ 214 USD|en|6|36 total mins|True|0|['Srinidhi Ranganathan', 'Saranya Srinidhi']|https://img-c.edtech.com/course/480x270/2717120_b24a_10.jpg|NO|
528996|The Complete Productivity Course - Master Productivity Today|A complete course where students will learn a system of Fundamental Productivity Principles and become more productive!|personal_development|All Levels|2021-11-10 11:53:34|2022-09-04 13:16:55|$ 113 USD|en|62|4 total hours|True|0|['Joe Parys', 'Joe Parys Support']|https://img-b.edtech.com/course/480x270/528996_5cd0_6.jpg?secure=6wsW5sl52G4ADPUZBqMSSw%3D%3D%2C1646825434|Ys|['es', 'de', 'zh']
764164|The Complete Web Developer Course 2.0|Learn Web Development by building 25 websites and mobile apps using HTML, CSS, Javascript, PHP, Python, MySQL & more!|development|All Levels|2020-11-18 02:39:05|2023-10-24 04:33:53|$ 247 USD|en|305|30.5 total hours|True|0|['Rob Percival', 'Codestars by Rob Percival']|https://img-c.edtech.com/course/480x270/764164_de03_2.jpg|NO|
1991696|Ethical Hacking and Penetration Testing|Learn Basics of Ethical Hacking.|software|Beginner Level|2021-10-29 23:50:26|2022-05-18 08:50:51|$ 257 USD|en|39|9 total hours|True|0|['Sunil K. Gupta']|https://img-b.edtech.com/course/480x270/1991696_961e_2.jpg?secure=wShDnhNb4OFeRC7k8NOFKg%3D%3D%2C1646824702|YES|['pt', 'zh', 'fr']
2634490|The Modern Javascript Bootcamp Course (2022)|The most up-to-date JS resource online! Master Javascript by building a beautiful portfolio of projects!|development|All Levels|2020-09-28 22:21:03|2023-10-25 22:37:23|$ 228 USD|en|483|52 total hours|True|0|['Colt Steele', 'Stephen Grider']|https://img-c.edtech.com/course/480x270/2634490_e343_2.jpg|False|
3394996|Cisco CCNA 200-301 Cert. Practice Test|Crack Cisco CCNA 200-301 Certification Exam by test your skills with this real CCNA Exam Practice Test.|software|All Levels|2021-07-28 17:38:05|2023-07-13 03:32:28|$ 292 USD|en|0|310 questions|False|4|['Ruban Paul']|https://img-c.edtech.com/course/480x270/3394996_76dc_2.jpg|Ys|['pt', 'de', 'fr']
